ID	Gene Name	Species	GOTERM_MF_DIRECT
KLB	klotho beta(KLB)	Homo sapiens	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0004871~signal transducer activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005104~fibroblast growth factor receptor binding,GO:0005515~protein binding,GO:0008422~beta-glucosidase activity,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0017134~fibroblast growth factor binding,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,
KY	kyphoscoliosis peptidase(KY)	Homo sapiens	GO:0008233~peptidase activity,
LTF	lactotransferrin(LTF)	Homo sapiens	GO:0003677~DNA binding,GO:0004252~serine-type endopeptidase activity,GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0043539~protein serine/threonine kinase activator activity,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0032403~protein complex binding,
LEFTY1	left-right determination factor 1(LEFTY1)	Homo sapiens	GO:0005125~cytokine activity,GO:0005160~transforming growth factor beta receptor binding,GO:0008083~growth factor activity,
LGR5	leucine rich repeat containing G protein-coupled receptor 5(LGR5)	Homo sapiens	GO:0004888~transmembrane signaling receptor activity,GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,GO:0016500~protein-hormone receptor activity,
LRRTM3	leucine rich repeat transmembrane neuronal 3(LRRTM3)	Homo sapiens	GO:0004860~protein kinase inhibitor activity,
LSAMP	limbic system-associated membrane protein(LSAMP)	Homo sapiens	GO:0005515~protein binding,
LCN2	lipocalin 2(LCN2)	Homo sapiens	GO:0002020~protease binding,GO:0005215~transporter activity,GO:0005506~iron ion binding,GO:0036094~small molecule binding,GO:0042803~protein homodimerization activity,
LHCGR	luteinizing hormone/choriogonadotropin receptor(LHCGR)	Homo sapiens	GO:0004964~luteinizing hormone receptor activity,GO:0008528~G-protein coupled peptide receptor activity,GO:0035472~choriogonadotropin hormone receptor activity,GO:0038106~choriogonadotropin hormone binding,
MFSD4A	major facilitator superfamily domain containing 4A(MFSD4A)	Homo sapiens	GO:0005355~glucose transmembrane transporter activity,
MRAP2	melanocortin 2 receptor accessory protein 2(MRAP2)	Homo sapiens	GO:0005515~protein binding,GO:0031780~corticotropin hormone receptor binding,GO:0031781~type 3 melanocortin receptor binding,GO:0031782~type 4 melanocortin receptor binding,GO:0031783~type 5 melanocortin receptor binding,GO:0042802~identical protein binding,GO:0070996~type 1 melanocortin receptor binding,
MTNR1A	melatonin receptor 1A(MTNR1A)	Homo sapiens	GO:0005515~protein binding,GO:0008502~melatonin receptor activity,GO:0042562~hormone binding,GO:0097159~organic cyclic compound binding,
MT1G	metallothionein 1G(MT1G)	Homo sapiens	GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0046872~metal ion binding,
MT1H	metallothionein 1H(MT1H)	Homo sapiens	GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0046872~metal ion binding,
MAPK4	mitogen-activated protein kinase 4(MAPK4)	Homo sapiens	GO:0004674~protein serine/threonine kinase activity,GO:0004707~MAP kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019901~protein kinase binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,
MKX	mohawk homeobox(MKX)	Homo sapiens	GO:0043565~sequence-specific DNA binding,
MOGAT2	monoacylglycerol O-acyltransferase 2(MOGAT2)	Homo sapiens	GO:0003846~2-acylglycerol O-acyltransferase activity,GO:0016407~acetyltransferase activity,
MLNR	motilin receptor(MLNR)	Homo sapiens	GO:0004930~G-protein coupled receptor activity,GO:0016520~growth hormone-releasing hormone receptor activity,
MUC6	mucin 6, oligomeric mucus/gel-forming(MUC6)	Homo sapiens	GO:0005201~extracellular matrix structural constituent,
MYZAP	myocardial zonula adherens protein(MYZAP)	Homo sapiens	GO:0005515~protein binding,
MRLN	myoregulin(MRLN)	Homo sapiens	GO:0004857~enzyme inhibitor activity,
MYH1	myosin heavy chain 1(MYH1)	Homo sapiens	GO:0003774~motor activity,GO:0003779~actin binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,
MYH7	myosin heavy chain 7(MYH7)	Homo sapiens	GO:0000146~microfilament motor activity,GO:0003774~motor activity,GO:0003779~actin binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0030898~actin-dependent ATPase activity,
MYH8	myosin heavy chain 8(MYH8)	Homo sapiens	GO:0000146~microfilament motor activity,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0008307~structural constituent of muscle,GO:0016887~ATPase activity,GO:0017018~myosin phosphatase activity,GO:0032027~myosin light chain binding,GO:0051015~actin filament binding,
MYLK3	myosin light chain kinase 3(MYLK3)	Homo sapiens	GO:0004683~calmodulin-dependent protein kinase activity,GO:0004687~myosin light chain kinase activity,GO:0005524~ATP binding,
NKD1	naked cuticle homolog 1(NKD1)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0030165~PDZ domain binding,
NKD2	naked cuticle homolog 2(NKD2)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0019838~growth factor binding,GO:0031625~ubiquitin protein ligase binding,
NEB	nebulin(NEB)	Homo sapiens	GO:0003779~actin binding,GO:0005515~protein binding,GO:0008307~structural constituent of muscle,
NTNG1	netrin G1(NTNG1)	Homo sapiens	GO:0005515~protein binding,
NELL1	neural EGFL like 1(NELL1)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0016301~kinase activity,
NEU4	neuraminidase 4(NEU4)	Homo sapiens	GO:0004308~exo-alpha-sialidase activity,GO:0005515~protein binding,GO:0052794~exo-alpha-(2->3)-sialidase activity,GO:0052795~exo-alpha-(2->6)-sialidase activity,GO:0052796~exo-alpha-(2->8)-sialidase activity,
NRXN1	neurexin 1(NRXN1)	Homo sapiens	GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005102~receptor binding,GO:0005246~calcium channel regulator activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0033130~acetylcholine receptor binding,GO:0046872~metal ion binding,GO:0048306~calcium-dependent protein binding,GO:0050839~cell adhesion molecule binding,GO:0097109~neuroligin family protein binding,
NMUR2	neuromedin U receptor 2(NMUR2)	Homo sapiens	GO:0001607~neuromedin U receptor activity,GO:0004930~G-protein coupled receptor activity,GO:0005229~intracellular calcium activated chloride channel activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0042924~neuromedin U binding,
NMRK2	nicotinamide riboside kinase 2(NMRK2)	Homo sapiens	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0046872~metal ion binding,GO:0050262~ribosylnicotinamide kinase activity,
NOS1	nitric oxide synthase 1(NOS1)	Homo sapiens	GO:0004517~nitric-oxide synthase activity,GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0010181~FMN binding,GO:0017080~sodium channel regulator activity,GO:0020037~heme binding,GO:0034617~tetrahydrobiopterin binding,GO:0034618~arginine binding,GO:0044325~ion channel binding,GO:0046870~cadmium ion binding,GO:0050660~flavin adenine dinucleotide binding,GO:0050661~NADP binding,GO:0097110~scaffold protein binding,
NPAP1	nuclear pore associated protein 1(NPAP1)	Homo sapiens	GO:0005487~nucleocytoplasmic transporter activity,GO:0008139~nuclear localization sequence binding,GO:0017056~structural constituent of nuclear pore,
NR1I3	nuclear receptor subfamily 1 group I member 3(NR1I3)	Homo sapiens	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003707~steroid hormone receptor activity,GO:0003713~transcription coactivator activity,GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,GO:0004882~androgen receptor activity,GO:0004887~thyroid hormone receptor activity,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,
OLFM3	olfactomedin 3(OLFM3)	Homo sapiens	GO:0005515~protein binding,
OLFM4	olfactomedin 4(OLFM4)	Homo sapiens	GO:0003824~catalytic activity,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0045296~cadherin binding,
ORM1	orosomucoid 1(ORM1)	Homo sapiens	GO:0005515~protein binding,
OVCH2	ovochymase 2 (gene/pseudogene)(OVCH2)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0046872~metal ion binding,
OXGR1	oxoglutarate receptor 1(OXGR1)	Homo sapiens	GO:0004930~G-protein coupled receptor activity,
PAK5	p21 (RAC1) activated kinase 5(PAK5)	Homo sapiens	GO:0004674~protein serine/threonine kinase activity,GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,
PITX1	paired like homeodomain 1(PITX1)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001085~RNA polymerase II transcription factor binding,GO:0001190~transcriptional activator activity, RNA polymerase II transcription factor binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,
PAPPA	pappalysin 1(PAPPA)	Homo sapiens	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,
PAPPA2	pappalysin 2(PAPPA2)	Homo sapiens	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,
PTH1R	parathyroid hormone 1 receptor(PTH1R)	Homo sapiens	GO:0004991~parathyroid hormone receptor activity,GO:0005515~protein binding,GO:0017046~peptide hormone binding,GO:0043621~protein self-association,
PVALB	parvalbumin(PVALB)	Homo sapiens	GO:0005509~calcium ion binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,
PM20D1	peptidase M20 domain containing 1(PM20D1)	Homo sapiens	GO:0008270~zinc ion binding,GO:0016829~lyase activity,GO:0070573~metallodipeptidase activity,
PAH	phenylalanine hydroxylase(PAH)	Homo sapiens	GO:0004497~monooxygenase activity,GO:0004505~phenylalanine 4-monooxygenase activity,GO:0005506~iron ion binding,GO:0016597~amino acid binding,GO:0016714~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen,
PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma(PIK3C2G)	Homo sapiens	GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0016307~phosphatidylinositol phosphate kinase activity,GO:0035005~1-phosphatidylinositol-4-phosphate 3-kinase activity,GO:0035091~phosphatidylinositol binding,
PLA2G4F	phospholipase A2 group IVF(PLA2G4F)	Homo sapiens	GO:0004620~phospholipase activity,GO:0004622~lysophospholipase activity,GO:0004623~phospholipase A2 activity,GO:0008970~phosphatidylcholine 1-acylhydrolase activity,GO:0046872~metal ion binding,GO:0047498~calcium-dependent phospholipase A2 activity,
PLA2R1	phospholipase A2 receptor 1(PLA2R1)	Homo sapiens	GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0030246~carbohydrate binding,GO:0043274~phospholipase binding,
PLCZ1	phospholipase C zeta 1(PLCZ1)	Homo sapiens	GO:0004435~phosphatidylinositol phospholipase C activity,GO:0004629~phospholipase C activity,GO:0004871~signal transducer activity,GO:0005509~calcium ion binding,
PLD5	phospholipase D family member 5(PLD5)	Homo sapiens	GO:0003824~catalytic activity,
PLPP4	phospholipid phosphatase 4(PLPP4)	Homo sapiens	GO:0008195~phosphatidate phosphatase activity,GO:0042802~identical protein binding,
PLPPR1	phospholipid phosphatase related 1(PLPPR1)	Homo sapiens	GO:0042577~lipid phosphatase activity,
PSAT1	phosphoserine aminotransferase 1(PSAT1)	Homo sapiens	GO:0004648~O-phospho-L-serine:2-oxoglutarate aminotransferase activity,GO:0008483~transaminase activity,
PLAC4	placenta specific 4(PLAC4)	Homo sapiens	GO:0005198~structural molecule activity,
PKP1	plakophilin 1(PKP1)	Homo sapiens	GO:0004871~signal transducer activity,GO:0005515~protein binding,GO:0005521~lamin binding,GO:0019215~intermediate filament binding,GO:0030280~structural constituent of epidermis,
PLG	plasminogen(PLG)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008236~serine-type peptidase activity,GO:0019904~protein domain specific binding,GO:0034185~apolipoprotein binding,
PLXNA4	plexin A4(PLXNA4)	Homo sapiens	GO:0017154~semaphorin receptor activity,
PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1(PKHD1L1)	Homo sapiens	GO:0004872~receptor activity,
KCNK10	potassium two pore domain channel subfamily K member 10(KCNK10)	Homo sapiens	GO:0005244~voltage-gated ion channel activity,GO:0005267~potassium channel activity,GO:0022841~potassium ion leak channel activity,
KCNK15	potassium two pore domain channel subfamily K member 15(KCNK15)	Homo sapiens	GO:0005244~voltage-gated ion channel activity,GO:0005267~potassium channel activity,GO:0022841~potassium ion leak channel activity,
KCNIP1	potassium voltage-gated channel interacting protein 1(KCNIP1)	Homo sapiens	GO:0005244~voltage-gated ion channel activity,GO:0005267~potassium channel activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0015459~potassium channel regulator activity,
KCNS2	potassium voltage-gated channel modifier subfamily S member 2(KCNS2)	Homo sapiens	GO:0005251~delayed rectifier potassium channel activity,GO:0005515~protein binding,
KCNA4	potassium voltage-gated channel subfamily A member 4(KCNA4)	Homo sapiens	GO:0005249~voltage-gated potassium channel activity,GO:0005251~delayed rectifier potassium channel activity,GO:0005515~protein binding,GO:0030955~potassium ion binding,
KCND2	potassium voltage-gated channel subfamily D member 2(KCND2)	Homo sapiens	GO:0005249~voltage-gated potassium channel activity,GO:0005250~A-type (transient outward) potassium channel activity,GO:0005251~delayed rectifier potassium channel activity,GO:0005515~protein binding,GO:0046872~metal ion binding,
KCNE1B	potassium voltage-gated channel subfamily E regulatory subunit 1B(KCNE1B)	Homo sapiens	GO:0005249~voltage-gated potassium channel activity,
KCNJ1	potassium voltage-gated channel subfamily J member 1(KCNJ1)	Homo sapiens	GO:0005242~inward rectifier potassium channel activity,GO:0005524~ATP binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0015272~ATP-activated inward rectifier potassium channel activity,
KCNJ10	potassium voltage-gated channel subfamily J member 10(KCNJ10)	Homo sapiens	GO:0005242~inward rectifier potassium channel activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0015272~ATP-activated inward rectifier potassium channel activity,GO:0015467~G-protein activated inward rectifier potassium channel activity,
KCNJ13	potassium voltage-gated channel subfamily J member 13(KCNJ13)	Homo sapiens	GO:0005242~inward rectifier potassium channel activity,
PSG5	pregnancy specific beta-1-glycoprotein 5(PSG5)	Homo sapiens	GO:0005515~protein binding,
PROX1	prospero homeobox 1(PROX1)	Homo sapiens	GO:0001046~core promoter sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003705~transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding,GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0016922~ligand-dependent nuclear receptor binding,GO:0044212~transcription regulatory region DNA binding,GO:0050692~DBD domain binding,GO:0050693~LBD domain binding,
PTGDS	prostaglandin D2 synthase(PTGDS)	Homo sapiens	GO:0004667~prostaglandin-D synthase activity,GO:0005215~transporter activity,GO:0005501~retinoid binding,GO:0005504~fatty acid binding,GO:0005515~protein binding,GO:0036094~small molecule binding,
PTGER1	prostaglandin E receptor 1(PTGER1)	Homo sapiens	GO:0004957~prostaglandin E receptor activity,
PROC	protein C, inactivator of coagulation factors Va and VIIIa(PROC)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0016787~hydrolase activity,
PROZ	protein Z, vitamin K dependent plasma glycoprotein(PROZ)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005509~calcium ion binding,
PTPRO	protein tyrosine phosphatase, receptor type O(PTPRO)	Homo sapiens	GO:0004725~protein tyrosine phosphatase activity,GO:0005001~transmembrane receptor protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0016791~phosphatase activity,GO:0017147~Wnt-protein binding,GO:0042803~protein homodimerization activity,
PTPRQ	protein tyrosine phosphatase, receptor type Q(PTPRQ)	Homo sapiens	GO:0004725~protein tyrosine phosphatase activity,
PLP1	proteolipid protein 1(PLP1)	Homo sapiens	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0019911~structural constituent of myelin sheath,
PCDH15	protocadherin related 15(PCDH15)	Homo sapiens	GO:0005509~calcium ion binding,
P2RX2	purinergic receptor P2X 2(P2RX2)	Homo sapiens	GO:0001614~purinergic nucleotide receptor activity,GO:0004931~extracellular ATP-gated cation channel activity,GO:0005524~ATP binding,GO:0015276~ligand-gated ion channel activity,GO:0042802~identical protein binding,
RASD1	ras related dexamethasone induced 1(RASD1)	Homo sapiens	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,
RAMP1	receptor activity modifying protein 1(RAMP1)	Homo sapiens	GO:0004872~receptor activity,GO:0004948~calcitonin receptor activity,GO:0005515~protein binding,GO:0008565~protein transporter activity,GO:0015026~coreceptor activity,GO:0031716~calcitonin receptor binding,
RPRM	reprimo, TP53 dependent G2 arrest mediator candidate(RPRM)	Homo sapiens	GO:0005515~protein binding,
RBP2	retinol binding protein 2(RBP2)	Homo sapiens	GO:0005215~transporter activity,GO:0005501~retinoid binding,GO:0016918~retinal binding,GO:0019841~retinol binding,
RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)	Homo sapiens	GO:0004745~retinol dehydrogenase activity,GO:0005515~protein binding,GO:0052650~NADP-retinol dehydrogenase activity,
RDH8	retinol dehydrogenase 8 (all-trans)(RDH8)	Homo sapiens	GO:0004303~estradiol 17-beta-dehydrogenase activity,GO:0004745~retinol dehydrogenase activity,GO:0052650~NADP-retinol dehydrogenase activity,
RNF212B	ring finger protein 212B(RNF212B)	Homo sapiens	GO:0008270~zinc ion binding,GO:0019789~SUMO transferase activity,GO:0046872~metal ion binding,
RNF223	ring finger protein 223(RNF223)	Homo sapiens	GO:0008270~zinc ion binding,
RIPPLY1	ripply transcriptional repressor 1(RIPPLY1)	Homo sapiens	GO:0005515~protein binding,
SCEL	sciellin(SCEL)	Homo sapiens	GO:0005515~protein binding,GO:0008270~zinc ion binding,
SOST	sclerostin(SOST)	Homo sapiens	GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0008201~heparin binding,
SFRP1	secreted frizzled related protein 1(SFRP1)	Homo sapiens	GO:0004197~cysteine-type endopeptidase activity,GO:0004930~G-protein coupled receptor activity,GO:0005109~frizzled binding,GO:0005515~protein binding,GO:0008144~drug binding,GO:0008201~heparin binding,GO:0017147~Wnt-protein binding,GO:0042802~identical protein binding,GO:0042813~Wnt-activated receptor activity,
SPINK13	serine peptidase inhibitor, Kazal type 13 (putative)(SPINK13)	Homo sapiens	GO:0004867~serine-type endopeptidase inhibitor activity,
SERPINA5	serpin family A member 5(SERPINA5)	Homo sapiens	GO:0001972~retinoic acid binding,GO:0002020~protease binding,GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005515~protein binding,GO:0005539~glycosaminoglycan binding,GO:0008201~heparin binding,GO:0008233~peptidase activity,GO:0031210~phosphatidylcholine binding,GO:0032190~acrosin binding,
SERPINC1	serpin family C member 1(SERPINC1)	Homo sapiens	GO:0002020~protease binding,GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005515~protein binding,GO:0008201~heparin binding,
SERPIND1	serpin family D member 1(SERPIND1)	Homo sapiens	GO:0004866~endopeptidase inhibitor activity,GO:0004867~serine-type endopeptidase inhibitor activity,GO:0008201~heparin binding,
SHISA3	shisa family member 3(SHISA3)	Homo sapiens	GO:0005515~protein binding,
SIAH3	siah E3 ubiquitin protein ligase family member 3(SIAH3)	Homo sapiens	GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,
SCUBE3	signal peptide, CUB domain and EGF like domain containing 3(SCUBE3)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,
STAP1	signal transducing adaptor family member 1(STAP1)	Homo sapiens	GO:0001784~phosphotyrosine binding,GO:0005068~transmembrane receptor protein tyrosine kinase adaptor activity,GO:0005070~SH3/SH2 adaptor activity,GO:0005157~macrophage colony-stimulating factor receptor binding,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0019901~protein kinase binding,
SIM2	single-minded family bHLH transcription factor 2(SIM2)	Homo sapiens	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,
SMCO3	single-pass membrane protein with coiled-coil domains 3(SMCO3)	Homo sapiens	GO:0005515~protein binding,
SCNN1B	sodium channel epithelial 1 beta subunit(SCNN1B)	Homo sapiens	GO:0005272~sodium channel activity,GO:0005515~protein binding,GO:0015280~ligand-gated sodium channel activity,GO:0050699~WW domain binding,
SCNN1G	sodium channel epithelial 1 gamma subunit(SCNN1G)	Homo sapiens	GO:0005216~ion channel activity,GO:0005272~sodium channel activity,GO:0005515~protein binding,GO:0015280~ligand-gated sodium channel activity,GO:0050699~WW domain binding,
SCN7A	sodium voltage-gated channel alpha subunit 7(SCN7A)	Homo sapiens	GO:0005248~voltage-gated sodium channel activity,
SLC1A7	solute carrier family 1 member 7(SLC1A7)	Homo sapiens	GO:0005313~L-glutamate transmembrane transporter activity,GO:0005314~high-affinity glutamate transmembrane transporter activity,GO:0015171~amino acid transmembrane transporter activity,GO:0015293~symporter activity,
SLC12A1	solute carrier family 12 member 1(SLC12A1)	Homo sapiens	GO:0005215~transporter activity,GO:0008511~sodium:potassium:chloride symporter activity,GO:0015377~cation:chloride symporter activity,
SLC12A3	solute carrier family 12 member 3(SLC12A3)	Homo sapiens	GO:0005215~transporter activity,GO:0005515~protein binding,GO:0015377~cation:chloride symporter activity,GO:0015378~sodium:chloride symporter activity,
SLC13A1	solute carrier family 13 member 1(SLC13A1)	Homo sapiens	GO:0005215~transporter activity,GO:0015382~sodium:sulfate symporter activity,
SLC13A2	solute carrier family 13 member 2(SLC13A2)	Homo sapiens	GO:0005215~transporter activity,GO:0015361~low-affinity sodium:dicarboxylate symporter activity,
SLC13A3	solute carrier family 13 member 3(SLC13A3)	Homo sapiens	GO:0005215~transporter activity,GO:0015137~citrate transmembrane transporter activity,GO:0015141~succinate transmembrane transporter activity,GO:0015362~high-affinity sodium:dicarboxylate symporter activity,GO:0017153~sodium:dicarboxylate symporter activity,
SLC14A1	solute carrier family 14 member 1 (Kidd blood group)(SLC14A1)	Homo sapiens	GO:0005372~water transmembrane transporter activity,GO:0015204~urea transmembrane transporter activity,GO:0015265~urea channel activity,
SLC14A2	solute carrier family 14 member 2(SLC14A2)	Homo sapiens	GO:0015204~urea transmembrane transporter activity,GO:0015265~urea channel activity,GO:0050839~cell adhesion molecule binding,
SLC22A13	solute carrier family 22 member 13(SLC22A13)	Homo sapiens	GO:0015101~organic cation transmembrane transporter activity,GO:0022891~substrate-specific transmembrane transporter activity,GO:0090416~nicotinate transporter activity,
SLC22A7	solute carrier family 22 member 7(SLC22A7)	Homo sapiens	GO:0005515~protein binding,GO:0015301~anion:anion antiporter activity,GO:0015347~sodium-independent organic anion transmembrane transporter activity,
SLC22A8	solute carrier family 22 member 8(SLC22A8)	Homo sapiens	GO:0005452~inorganic anion exchanger activity,GO:0015301~anion:anion antiporter activity,GO:0015347~sodium-independent organic anion transmembrane transporter activity,GO:0022857~transmembrane transporter activity,
SLC24A2	solute carrier family 24 member 2(SLC24A2)	Homo sapiens	GO:0005262~calcium channel activity,GO:0005509~calcium ion binding,GO:0008273~calcium, potassium:sodium antiporter activity,GO:0015293~symporter activity,GO:0016151~nickel cation binding,GO:0030145~manganese ion binding,GO:0030955~potassium ion binding,GO:0031402~sodium ion binding,GO:0046870~cadmium ion binding,GO:0046983~protein dimerization activity,
SLC26A4	solute carrier family 26 member 4(SLC26A4)	Homo sapiens	GO:0005254~chloride channel activity,GO:0008271~secondary active sulfate transmembrane transporter activity,GO:0015106~bicarbonate transmembrane transporter activity,GO:0015108~chloride transmembrane transporter activity,GO:0015111~iodide transmembrane transporter activity,GO:0015116~sulfate transmembrane transporter activity,GO:0015301~anion:anion antiporter activity,GO:0019531~oxalate transmembrane transporter activity,
SLC28A2	solute carrier family 28 member 2(SLC28A2)	Homo sapiens	GO:0005415~nucleoside:sodium symporter activity,GO:0015211~purine nucleoside transmembrane transporter activity,
SLC30A2	solute carrier family 30 member 2(SLC30A2)	Homo sapiens	GO:0005385~zinc ion transmembrane transporter activity,GO:0005515~protein binding,
SLC30A8	solute carrier family 30 member 8(SLC30A8)	Homo sapiens	GO:0005385~zinc ion transmembrane transporter activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0042803~protein homodimerization activity,
SLC34A1	solute carrier family 34 member 1(SLC34A1)	Homo sapiens	GO:0005315~inorganic phosphate transmembrane transporter activity,GO:0005436~sodium:phosphate symporter activity,GO:0005515~protein binding,GO:0015321~sodium-dependent phosphate transmembrane transporter activity,GO:0030165~PDZ domain binding,GO:0032403~protein complex binding,GO:0042803~protein homodimerization activity,
SLC34A3	solute carrier family 34 member 3(SLC34A3)	Homo sapiens	GO:0005315~inorganic phosphate transmembrane transporter activity,GO:0005436~sodium:phosphate symporter activity,GO:0015321~sodium-dependent phosphate transmembrane transporter activity,
SLC36A2	solute carrier family 36 member 2(SLC36A2)	Homo sapiens	GO:0005280~hydrogen:amino acid symporter activity,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0015171~amino acid transmembrane transporter activity,GO:0015180~L-alanine transmembrane transporter activity,GO:0015187~glycine transmembrane transporter activity,GO:0015193~L-proline transmembrane transporter activity,
SLC38A3	solute carrier family 38 member 3(SLC38A3)	Homo sapiens	GO:0005290~L-histidine transmembrane transporter activity,GO:0015171~amino acid transmembrane transporter activity,GO:0015180~L-alanine transmembrane transporter activity,GO:0015182~L-asparagine transmembrane transporter activity,GO:0015186~L-glutamine transmembrane transporter activity,GO:0015293~symporter activity,GO:0015297~antiporter activity,
SLC4A11	solute carrier family 4 member 11(SLC4A11)	Homo sapiens	GO:0005272~sodium channel activity,GO:0005452~inorganic anion exchanger activity,GO:0015106~bicarbonate transmembrane transporter activity,GO:0015252~hydrogen ion channel activity,GO:0015293~symporter activity,GO:0015301~anion:anion antiporter activity,GO:0046715~borate transmembrane transporter activity,GO:0046983~protein dimerization activity,
SLC4A9	solute carrier family 4 member 9(SLC4A9)	Homo sapiens	GO:0005452~inorganic anion exchanger activity,GO:0008509~anion transmembrane transporter activity,GO:0008510~sodium:bicarbonate symporter activity,GO:0015301~anion:anion antiporter activity,
SLC47A2	solute carrier family 47 member 2(SLC47A2)	Homo sapiens	GO:0015238~drug transmembrane transporter activity,GO:0015297~antiporter activity,GO:0015307~drug:proton antiporter activity,
SLC5A11	solute carrier family 5 member 11(SLC5A11)	Homo sapiens	GO:0005215~transporter activity,GO:0005515~protein binding,GO:0015166~polyol transmembrane transporter activity,GO:0015293~symporter activity,
