Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Family	mir-199 family	1	0.33333333	13.62068966	0.0717	1	0.4379	hsa-mir-199b
Family	mir-17 family	1	0.125	5.10775862	0.1803	1	0.7576	hsa-mir-20b
Family	mir-214 family	1	0.5	20.43103448	0.0484	1	0.3538	hsa-mir-214
Family	mir-221 family	1	0.5	20.43103448	0.0484	1	0.3538	hsa-mir-221
Family	mir-33 family	1	0.5	20.43103448	0.0484	1	0.3538	hsa-mir-33a
Family	mir-451 family	1	0.5	20.43103448	0.0484	1	0.3538	hsa-mir-451a
Family	mir-486 family	2	1	40.86206897	5.79e-4	0.228	0.0122	hsa-mir-486-1,hsa-mir-486-2
Family	mir-506 family	5	0.27777778	11.35057471	4.22e-5	0.0166	2.17e-3	hsa-mir-508,hsa-mir-509-3,hsa-mir-514a-1,hsa-mir-514a-2,hsa-mir-514a-3
Family	mir-891 family	1	0.5	20.43103448	0.0484	1	0.3538	hsa-mir-891a
Family	mir-9 family	3	1	40.86206897	1.32e-5	5.20e-3	8.70e-4	hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3
Tissue Specificity	Heart&amp;amp;Muscle	1	0.08333333	3.40517241	0.2582	1	0.9301	hsa-mir-1-2
Tissue Specificity	Brain	5	0.25	10.21551724	7.38e-5	0.0291	3.01e-3	hsa-mir-346,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-129-2
